sentence_pair,subjects_majority_vote,sentence1,sentence2,probability_sentence1,probability_sentence2
Bet dat nobody putt dem golds to stone_Why would of sacrificing public unhappiness like circumcision,1.0,Bet dat nobody putt dem golds to stone,Why would of sacrificing public unhappiness like circumcision,-61.69767701625824,-67.74481497146189
Better sort some flights and hotel room out_Gael bustling so ambulances and powerful torrential dwindled,1.0,Better sort some flights and hotel room out,Gael bustling so ambulances and powerful torrential dwindled,-48.63670635223389,-86.32700562477112
Better sort some flights and hotel room out_Subscribe a a a a Adolf war och,1.0,Better sort some flights and hotel room out,Subscribe a a a a Adolf war och,-48.63670635223389,-65.99903607368469
Both ordered online with no issues at all_Have a reminder not to live in imagination,1.0,Both ordered online with no issues at all,Have a reminder not to live in imagination,-36.182618871331215,-38.439857959747314
Brave new world we are living in huh_I agree he sometimes gets too much flak,1.0,Brave new world we are living in huh,I agree he sometimes gets too much flak,-25.319826245307922,-38.28385376930237
But I find comments like yours very hypocritical_Like all the ones in office buildings are,1.0,But I find comments like yours very hypocritical,Like all the ones in office buildings are,-36.32541799545288,-43.60758376121521
But nationalism has no place in a democracy_This language has no place in our democracy,2.0,But nationalism has no place in a democracy,This language has no place in our democracy,-26.28009194135666,-28.077691942453384
But proceeded to contacting go into def happened_Just wanted to shame myself into doing better,2.0,But proceeded to contacting go into def happened,Just wanted to shame myself into doing better,-76.83144609630108,-35.08430653065443
But striking first is not the right solution_Unfortunately forking forked is not the right solution,1.0,But striking first is not the right solution,Unfortunately forking forked is not the right solution,-33.009857177734375,-45.734153509140015
But stuffing onboard beds was fairly commonplace here_Putting locks to things is pretty common though,2.0,But stuffing onboard beds was fairly commonplace here,Putting locks to things is pretty common though,-59.383498668670654,-37.93781852722168
Can not a bully him the only deepened_Try to keep calm until the next scan,2.0,Can not a bully him the only deepened,Try to keep calm until the next scan,-67.99061298370361,-32.58589470386505
Case closed with him crying in two months_This debate just shows how early we Are,1.0,Case closed with him crying in two months,This debate just shows how early we Are,-37.18469417095184,-48.95191764831543
Cause he is not special in any way_Our parents made the entire wedding about them,2.0,Cause he is not special in any way,Our parents made the entire wedding about them,-26.194014489650726,-38.85964518785477
Clean win images with no needlessly repaired files_May our system with no problem installing application,2.0,Clean win images with no needlessly repaired files,May our system with no problem installing application,-67.99577605724335,-56.14382314682007
Considered not grammatical to say christmas is Swat_Trust deficit lessening to cut spending and deficits,2.0,Considered not grammatical to say christmas is Swat,Trust deficit lessening to cut spending and deficits,-65.89203214645386,-50.58166170120239
Cornwallis gains tax loopholes publicist for her anymore_Never gains or loses weight for a role,2.0,Cornwallis gains tax loopholes publicist for her anymore,Never gains or loses weight for a role,-72.96690958738327,-39.008198857307434
Corporation ownership of state goods creates capitalist empires_Public ownership of all capital is state capitalism,1.0,Corporation ownership of state goods creates capitalist empires,Public ownership of all capital is state capitalism,-53.38935124874115,-37.12911468744278
Cost must beacons and neutralize those you use_They laughed mules to one gearbox and fauna,1.0,Cost must beacons and neutralize those you use,They laughed mules to one gearbox and fauna,-59.60204240679741,-82.75468409061432
Could just be something they do this weekend_May not be something they see every summer,1.0,Could just be something they do this weekend,May not be something they see every summer,-32.662105083465576,-33.34893822669983
Decided we shall presently supervising animator Bakshi kidnappings_Yeah I usually do two space per scope,2.0,Decided we shall presently supervising animator Bakshi kidnappings,Yeah I usually do two space per scope,-89.68396580219269,-53.60439133644104
Describing the republicans to ever defeat at Newcastle_There enough software to fix it at least,2.0,Describing the republicans to ever defeat at Newcastle,There enough software to fix it at least,-61.850780606269836,-42.58902370929718
Diddy has a wealth of experience with grappling_Nothing has a world of excitement and joys,1.0,Diddy has a wealth of experience with grappling,Nothing has a world of excitement and joys,-35.5040626488626,-43.507025957107544
Distinguished possibility about other kinds for incidence quo_Need documentation on the circumstances and reasons given,2.0,Distinguished possibility about other kinds for incidence quo,Need documentation on the circumstances and reasons given,-74.66879034042358,-39.89628767967224
Donald trump I think you all know why_It makes you a man with mutilated genitalia,1.0,Donald trump I think you all know why,It makes you a man with mutilated genitalia,-33.09316921234131,-39.77440991438925
Edit I got the link from someone here_So I got the video from someone else,2.0,Edit I got the link from someone here,So I got the video from someone else,-35.69415330886841,-28.888193368911743
Edit I got the link from someone here_So I inherited the basics from everyone else,1.0,Edit I got the link from someone here,So I inherited the basics from everyone else,-35.69415330886841,-32.69713932275772
Even getting these replacement lights was hard enough_Those applying these bawling face up again enough,1.0,Even getting these replacement lights was hard enough,Those applying these bawling face up again enough,-42.54612469673157,-72.77320408821106
Even if a did watch all the seasons_if watch the a seasons Even did all,1.0,Even if a did watch all the seasons,if watch the a seasons Even did all,-41.470980644226074,-69.85646057128906
Every gust tar cooker partaking a compression beacon_The optional damage waiver on a rental car,2.0,Every gust tar cooker partaking a compression beacon,The optional damage waiver on a rental car,-93.67371606826782,-52.22765874862671
Every trade requires a buyer and a seller_Freedom is a two edged sword my friends,1.0,Every trade requires a buyer and a seller,Freedom is a two edged sword my friends,-25.175818666815758,-33.696117889136076
Everything went on whether you need to Hispaniola_Please come back when you have more karma,2.0,Everything went on whether you need to Hispaniola,Please come back when you have more karma,-54.184417724609375,-29.120363354682922
Excellent draw and an overall great smoking experience_I should be higher and tied to inflation,1.0,Excellent draw and an overall great smoking experience,I should be higher and tied to inflation,-32.40900011360645,-47.5775032043457
Expeditionary Taj versa ago Boko may get victims_I no strength depended neutralize not coming back,2.0,Expeditionary Taj versa ago Boko may get victims,I no strength depended neutralize not coming back,-85.51972341537476,-72.31408452987671
Get lots of practice for the football team_Just wanted to give you an alternative view,1.0,Get lots of practice for the football team,Just wanted to give you an alternative view,-32.27805803716183,-26.25691782683134
Good games are becoming few and far between_This is setup to make you over analyze,1.0,Good games are becoming few and far between,This is setup to make you over analyze,-25.20584842003882,-42.51401150226593
Good luck would not about ecclesiastical disembarked Friday_Now seems you left your purple pen somewhere,2.0,Good luck would not about ecclesiastical disembarked Friday,Now seems you left your purple pen somewhere,-76.74230763316154,-52.76413011550903
Great to see Scott reprising avenge old stomp_Republicans to thank you become distorted neither hypothermia,1.0,Great to see Scott reprising avenge old stomp,Republicans to thank you become distorted neither hypothermia,-54.00402754545212,-79.25690442323685
Hard to lay words that were born goodbyes_How to handle races that are outright incomprehensible,2.0,Hard to lay words that were born goodbyes,How to handle races that are outright incomprehensible,-57.767410427331924,-42.0052353143692
Have in mind undocumented paperwork and all that_Keep in mind vehicle expenses and all that,2.0,Have in mind undocumented paperwork and all that,Keep in mind vehicle expenses and all that,-44.08158603310585,-36.65313660772517
He allegedly assert if Terra prides between malnutrition_I said told parts vowing parting terms hurtful,1.0,He allegedly assert if Terra prides between malnutrition,I said told parts vowing parting terms hurtful,-95.05857491493225,-87.21695852279663
He could bestow this story about it sounds_We would ride this wave for forever long,2.0,He could bestow this story about it sounds,We would ride this wave for forever long,-60.72114658355713,-44.975990533828735
He did not tell people to inject themselves_She does not tell people to vaccinate themselves,2.0,He did not tell people to inject themselves,She does not tell people to vaccinate themselves,-35.32186156511307,-32.971825561864534
He was literally aiming for that vehicular manslaughter_Man Of Steel is amazing and a classic,2.0,He was literally aiming for that vehicular manslaughter,Man Of Steel is amazing and a classic,-47.02532021794468,-32.793020725250244
He would be beset into a dishwasher games_They would be hit by a vehicle eventually,2.0,He would be beset into a dishwasher games,They would be hit by a vehicle eventually,-63.644264936447144,-32.181689620018005
Hence try why version might the shampoo I_Hence why I might try the shampoo version,2.0,Hence try why version might the shampoo I,Hence why I might try the shampoo version,-77.12595558166504,-42.41350328922272
Here are five birdies in the United Kingdom_There are five branches in the United Kingdom,2.0,Here are five birdies in the United Kingdom,There are five branches in the United Kingdom,-34.044304728507996,-26.24790322780609
Here are two propositions you need to know_These are Major issues I want to address,1.0,Here are two propositions you need to know,These are Major issues I want to address,-27.17280885949731,-31.50299845635891
Here are two propositions you need to know_These are serious issues you need to resolve,2.0,Here are two propositions you need to know,These are serious issues you need to resolve,-27.17280885949731,-24.732601709663868
Homer reappears as a gimmick of underdeveloped Harry_Ted is on the board of both companies,2.0,Homer reappears as a gimmick of underdeveloped Harry,Ted is on the board of both companies,-56.04971897602081,-26.37854379415512
Honestly glad to have anything for the ice_Not on Monday Tuesday Wednesday Friday Saturday Sunday,2.0,Honestly glad to have anything for the ice,Not on Monday Tuesday Wednesday Friday Saturday Sunday,-43.447917461395264,-32.57115027308464
Hope this helps and your skin gets better_Tag of course would charge a lot more,1.0,Hope this helps and your skin gets better,Tag of course would charge a lot more,-26.68364053964615,-33.886462330818176
How that never got flagged is beyond me_The inability to Express emotion in your society,1.0,How that never got flagged is beyond me,The inability to Express emotion in your society,-33.89165300130844,-55.60399031639099
How to cut Des like a Doris day_Kercher were salvaged accountable than most illustrious deepening,1.0,How to cut Des like a Doris day,Kercher were salvaged accountable than most illustrious deepening,-62.92012095451355,-90.3355211019516
I actually watched my cousin beat the game_I had helped my uncles behead those bastards,1.0,I actually watched my cousin beat the game,I had helped my uncles behead those bastards,-38.17739462852478,-50.655031696136575
I am alive on christmas of my birthday_I was travelling in Asia on my own,2.0,I am alive on christmas of my birthday,I was travelling in Asia on my own,-43.62696771323681,-29.123077392578125
I am all alone in this alligator enclosure_They are currently only communicating via their lawyers,2.0,I am all alone in this alligator enclosure,They are currently only communicating via their lawyers,-36.095149755477905,-36.443989515304565
I based it off no taxation without representation_You could Play some music he likes too,1.0,I based it off no taxation without representation,You could Play some music he likes too,-52.19764828681946,-46.89416807889938
I can be otherwise been prohibited sugary mixer_I could spend all day eating that treat,2.0,I can be otherwise been prohibited sugary mixer,I could spend all day eating that treat,-74.44868850708008,-34.39094579219818
I confidently declare that no one constitutes it_I just once that no one bay nave,1.0,I confidently declare that no one constitutes it,I just once that no one bay nave,-40.57415330410004,-65.23108261823654
I definitely need to start driving places again_When he said history bout to be made,1.0,I definitely need to start driving places again,When he said history bout to be made,-38.69088366627693,-49.48392868041992
I did a Read with Me last weekend_Kind of an ends justify the means attitude,2.0,I did a Read with Me last weekend,Kind of an ends justify the means attitude,-41.04129648208618,-31.61291803070344
I do plainly remember feeling how you feel_Slowly add in powdered sugar until desired consistency,1.0,I do plainly remember feeling how you feel,Slowly add in powdered sugar until desired consistency,-43.68515992164612,-27.36575311422348
I felt the same way about Dark Places_the felt Places same way about Dark I,1.0,I felt the same way about Dark Places,the felt Places same way about Dark I,-31.45038253068924,-69.60154056549072
I had an awesome repair call one time_I would Love to see Seth pop off,1.0,I had an awesome repair call one time,I would Love to see Seth pop off,-42.81936478614807,-48.015853464603424
I immediately thought it was Land as well_She especially realized this too and as well,1.0,I immediately thought it was Land as well,She especially realized this too and as well,-38.129753828048706,-46.556071519851685
I just did this making biscuits and gravy_Take regular showers to keep your temperature regulated,2.0,I just did this making biscuits and gravy,Take regular showers to keep your temperature regulated,-36.252142906188965,-37.28036594390869
I laughed so hard I woke the baby_Rain stopped play before the test went in,1.0,I laughed so hard I woke the baby,Rain stopped play before the test went in,-31.809197172522545,-42.33787024021149
I love watching cat and mouse security games_I mean they are all up on Archive,1.0,I love watching cat and mouse security games,I mean they are all up on Archive,-43.1859974861145,-41.328952610492706
I might want slightly more space between paragraphs_Men who say alpha and beta are losers,1.0,I might want slightly more space between paragraphs,Men who say alpha and beta are losers,-38.921454310417175,-38.86873099207878
I really could have liked a better word_You I should have used a smaller font,1.0,I really could have liked a better word,You I should have used a smaller font,-32.5684654712677,-35.188753843307495
I think people get the generalization wrong though_I think they got the odds wrong though,2.0,I think people get the generalization wrong though,I think they got the odds wrong though,-37.415882766246796,-31.66480678319931
I was going to be her personal attach_This is going to be our next brainchild,2.0,I was going to be her personal attach,This is going to be our next brainchild,-39.48365208506584,-27.80760020762682
I will be here to check more opinions_We must be enabled to breathe no reuniting,1.0,I will be here to check more opinions,We must be enabled to breathe no reuniting,-38.38993549346924,-55.62050786614418
If I was walking past probably fall in_Tap water can harbor dangerous parasites and bacteria,2.0,If I was walking past probably fall in,Tap water can harbor dangerous parasites and bacteria,-49.370965242385864,-37.509119272232056
If you can afford to prime do it_it do afford to you If prime can,1.0,If you can afford to prime do it,it do afford to you If prime can,-37.727129340171814,-64.73652505874634
Ike is the only man in Smash Bros_Things Can Only Get Better was the song,1.0,Ike is the only man in Smash Bros,Things Can Only Get Better was the song,-25.58102722465992,-43.183500826358795
It gets going after the first few episodes_It gets spooky in the last few scenes,1.0,It gets going after the first few episodes,It gets spooky in the last few scenes,-30.770086526870728,-34.990121364593506
It is a simple concept but much more_It is a single word and nothing else,1.0,It is a simple concept but much more,It is a single word and nothing else,-29.273145020008087,-27.339272439479828
It was an insult towards what you said_There was an insult since what you described,1.0,It was an insult towards what you said,There was an insult since what you described,-34.80037796497345,-43.61763548851013
It was the last time I ate out_It was the last time I ate there,2.0,It was the last time I ate out,It was the last time I ate there,-24.342690229415894,-23.979947686195374
Just imagine a Super Smash Bros cinematic universe_They contrast nicely with your slightly tanned skin,1.0,Just imagine a Super Smash Bros cinematic universe,They contrast nicely with your slightly tanned skin,-39.27409429848194,-43.93507942557335
Just letting you know how I did it_Think because you like how he says it,1.0,Just letting you know how I did it,Think because you like how he says it,-25.673080921173096,-35.46288728713989
Just not wise to have debt and invest_Trust deficit lessening to cut spending and deficits,1.0,Just not wise to have debt and invest,Trust deficit lessening to cut spending and deficits,-45.62562084197998,-50.58166170120239
Keep me posted if anything changes for you_The possibility of ruining it will actually help,1.0,Keep me posted if anything changes for you,The possibility of ruining it will actually help,-26.38323962688446,-38.43240985274315
Law gave the institution an care free rein_You gave the government an interest free loan,2.0,Law gave the institution an care free rein,You gave the government an interest free loan,-50.676149129867554,-34.70802080631256
League of legends has that as a feature_that League legends as a has of feature,1.0,League of legends has that as a feature,that League legends as a has of feature,-32.13074105978012,-63.36724543571472
Lesser on the forecastle and sentenced their peak_Stand near the cafe and sip your coffee,2.0,Lesser on the forecastle and sentenced their peak,Stand near the cafe and sip your coffee,-71.43412148952484,-27.5698424577713
Little can one do against such imp ist_What can men do against such reckless hate,2.0,Little can one do against such imp ist,What can men do against such reckless hate,-48.108415603637695,-44.55005353689194
Lots of love and good wishes from us_With wonderful art and Bakshi wrote from Atlanta,1.0,Lots of love and good wishes from us,With wonderful art and Bakshi wrote from Atlanta,-23.03631418198347,-63.5786612033844
Many of the years I did done so_One of the straps she heard Boulevard was,1.0,Many of the years I did done so,One of the straps she heard Boulevard was,-36.53963786363602,-54.119491934776306
Maybe because there are so little combo skill_The sub can revoke consent at any time,2.0,Maybe because there are so little combo skill,The sub can revoke consent at any time,-44.87015342712402,-34.46557618677616
Maybe mix in a plant swap with it_Maybe plant with mix in a swap it,1.0,Maybe mix in a plant swap with it,Maybe plant with mix in a swap it,-44.0471887588501,-56.81524896621704
Meet Me In The Woods by Lord Huron_Then actually make sense of peer reviewed studies,1.0,Meet Me In The Woods by Lord Huron,Then actually make sense of peer reviewed studies,-36.05508613586426,-44.165442168712616
Might be better if you could spell speech_Ultimately this damned if I intentionally spell slots,1.0,Might be better if you could spell speech,Ultimately this damned if I intentionally spell slots,-34.36875295639038,-64.57528758049011
Might be better if you could spell speech_Would be easy if we could reorganize able,1.0,Might be better if you could spell speech,Would be easy if we could reorganize able,-34.36875295639038,-45.43334874510765
Most people you apparently recent years and forth_Some people just need less contact and support,2.0,Most people you apparently recent years and forth,Some people just need less contact and support,-64.23062038421631,-36.91416883468628
My downstairs neighbor pumping shitty beats all day_My own schoolgirls pumping peed boos every morning,1.0,My downstairs neighbor pumping shitty beats all day,My own schoolgirls pumping peed boos every morning,-55.565391421318054,-73.6765011548996
Never need to talk about ethnicity or genders_People try to think about uncontrollable and unnatural,1.0,Never need to talk about ethnicity or genders,People try to think about uncontrollable and unnatural,-35.114122837781906,-42.5628730468452
Next weeks going to be a wild ride_This ist going to be a messy ride,1.0,Next weeks going to be a wild ride,This ist going to be a messy ride,-37.384582817554474,-37.719197139143944
No clue if this horrible feeling in Europe_No point getting an innocent person in trouble,2.0,No clue if this horrible feeling in Europe,No point getting an innocent person in trouble,-49.13601863384247,-32.71962821483612
No doubt this human liked to hurt them_No wonder the greats try to avoid her,2.0,No doubt this human liked to hurt them,No wonder the greats try to avoid her,-44.726770639419556,-39.13213396072388
None of these skins looked hard to tell_Plot these as a bar or line chart,2.0,None of these skins looked hard to tell,Plot these as a bar or line chart,-38.49922150373459,-41.636746406555176
Nor was I a Trump voter or supporter_The support not even read what is about,1.0,Nor was I a Trump voter or supporter,The support not even read what is about,-32.53781545162201,-53.34853553771973
Now that is a fun blog to read_Now this is a fun format to watch,1.0,Now that is a fun blog to read,Now this is a fun format to watch,-27.12793731689453,-28.672499656677246
One upside dopamine and serotonin in your day_They can open credit cards in your name,2.0,One upside dopamine and serotonin in your day,They can open credit cards in your name,-50.730037450790405,-31.843424677848816
Or could be hit by a train oncoming_They would be hit by a vehicle eventually,2.0,Or could be hit by a train oncoming,They would be hit by a vehicle eventually,-38.515733540058136,-32.181689620018005
Original sin means all humans are born sinful_They have an issue with the blatant hypocrisy,2.0,Original sin means all humans are born sinful,They have an issue with the blatant hypocrisy,-38.97336196899414,-32.49755284190178
Our youngest is more than one months old_The account is more than one day old,2.0,Our youngest is more than one months old,The account is more than one day old,-33.82153579592705,-28.913906574249268
Place the merchant first and sum their expenses_Toward the vanguard company not check their victorious,1.0,Place the merchant first and sum their expenses,Toward the vanguard company not check their victorious,-46.4984484910965,-72.84732707589865
Players can needlessly spam point and click adventuring_You can still flash point and click abilities,1.0,Players can needlessly spam point and click adventuring,You can still flash point and click abilities,-54.866631703451276,-44.701244831085205
Probably throw in Harry Potter somewhere there too_You are correct that it makes no sense,2.0,Probably throw in Harry Potter somewhere there too,You are correct that it makes no sense,-41.76768672466278,-24.66843092441559
Sad that our lives are controlled by others_Subscribe that our majority are exposed from daylight,1.0,Sad that our lives are controlled by others,Subscribe that our majority are exposed from daylight,-30.42855805158615,-60.31977367401123
Scroll taking a walk around the amusement park_Where faces my mom for a creature dearly,1.0,Scroll taking a walk around the amusement park,Where faces my mom for a creature dearly,-35.12116863578558,-66.09449458122253
See that mentality is part of the problem_States that coke is out of the lab,1.0,See that mentality is part of the problem,States that coke is out of the lab,-31.277088310569525,-42.36123883724213
See the inbox for any posts you submit_See the wiki for any questions you might,1.0,See the inbox for any posts you submit,See the wiki for any questions you might,-41.113374292850494,-34.52714550495148
She can make me pretty confident in ranked_You can find them pretty cheap in Germany,2.0,She can make me pretty confident in ranked,You can find them pretty cheap in Germany,-46.939040184020996,-30.450498342514038
She essentially sacrifices her happiness to save him_Your average gradient shaded clung to extradite him,1.0,She essentially sacrifices her happiness to save him,Your average gradient shaded clung to extradite him,-35.83880776166916,-72.83712376654148
So play wisely and know when to stop_So tell Mitch and anyhow would he help,1.0,So play wisely and know when to stop,So tell Mitch and anyhow would he help,-30.30819296836853,-59.07259678840637
Someone has got to take these losers down_Sorry I realised I framed the question wrong,1.0,Someone has got to take these losers down,Sorry I realised I framed the question wrong,-30.55755975842476,-40.45682543516159
Stop generalizing tasted duck session of the superstructure_Try a solo public session in the future,2.0,Stop generalizing tasted duck session of the superstructure,Try a solo public session in the future,-80.84214448928833,-35.32240951061249
That girl plays jump rope with that line_Yellow girl performed Sesame music with no choreography,1.0,That girl plays jump rope with that line,Yellow girl performed Sesame music with no choreography,-44.10159087181091,-60.83415203541517
That was the inspiration for our art makings_What is the Gulf of the impoverished neighborhoods,1.0,That was the inspiration for our art makings,What is the Gulf of the impoverished neighborhoods,-40.88139599561691,-52.775558829307556
The Carol has been minutes go and asks_The submission has been voluntarily closed and locked,2.0,The Carol has been minutes go and asks,The submission has been voluntarily closed and locked,-63.837056398391724,-40.06851899623871
The car will be there in the morning_The research can be utilised in the future,1.0,The car will be there in the morning,The research can be utilised in the future,-29.34926927089691,-31.69478297396563
The correct answers and your answers are different_different answers answers your correct The and are,1.0,The correct answers and your answers are different,different answers answers your correct The and are,-36.12948328256607,-59.18630838394165
The end result is not the painted one_The entire Arabia was only the divorcing Mahal,1.0,The end result is not the painted one,The entire Arabia was only the divorcing Mahal,-33.87465447187424,-74.13529992103577
The object of persuasion is motivating everyone involved_The topic of sure does get people talking,1.0,The object of persuasion is motivating everyone involved,The topic of sure does get people talking,-46.34678465127945,-34.177171885967255
The oils offered were not pure Olive oil_The oils themselves are not necessarily the problem,2.0,The oils offered were not pure Olive oil,The oils themselves are not necessarily the problem,-44.67009711265564,-34.15212696790695
The pales in the help them off semi_Where at in a mutiny were better received,2.0,The pales in the help them off semi,Where at in a mutiny were better received,-63.86006063222885,-53.31874358654022
The rate of technological growth is exponentially exponential_There was a famous study done by Prof,1.0,The rate of technological growth is exponentially exponential,There was a famous study done by Prof,-37.297507256269455,-26.660090267658234
There a lot of presumption in your answer_Was a pattern of lakes in your stare,1.0,There a lot of presumption in your answer,Was a pattern of lakes in your stare,-38.75466574728489,-50.786646127700806
There are not to do so personal grudge_There had nothing to do with medicinal harassment,2.0,There are not to do so personal grudge,There had nothing to do with medicinal harassment,-47.14799082279205,-37.79648909345269
There are so many more to adequately happens_There are so many ways to solve puzzles,2.0,There are so many more to adequately happens,There are so many ways to solve puzzles,-48.29231837019324,-21.977101381868124
This days have felt like a break honestly_What saves coworker who won a quintessential misunderstood,1.0,This days have felt like a break honestly,What saves coworker who won a quintessential misunderstood,-48.26008069515228,-75.91829442977905
This does not necessarily ensure a uniform weighting_This does not really watch the easiest hypocrite,1.0,This does not necessarily ensure a uniform weighting,This does not really watch the easiest hypocrite,-39.175339713692665,-54.22428633272648
This team needs a boost of some sort_some boost sort a team needs This of,1.0,This team needs a boost of some sort,some boost sort a team needs This of,-27.611319065093994,-66.66088771820068
This will probably the happiest contradicts the hypocrite_You are constantly seeing people play the multi,2.0,This will probably the happiest contradicts the hypocrite,You are constantly seeing people play the multi,-58.571730613708496,-46.490418672561646
Top seed from each conference gets a bye_We should take safety precautions during the pandemic,2.0,Top seed from each conference gets a bye,We should take safety precautions during the pandemic,-32.59404265880585,-40.52018802240491
Trump is reason dog my the has diabetes_Trump is the reason my dog has diabetes,2.0,Trump is reason dog my the has diabetes,Trump is the reason my dog has diabetes,-67.88262844085693,-35.306329011917114
Try to be selective in what you clip_Try to be selective in what you pre,1.0,Try to be selective in what you clip,Try to be selective in what you pre,-29.358358830213547,-32.475101083517075
Ugly house sticks out like a sore thumb_You misunderstood the post and conversation they had,2.0,Ugly house sticks out like a sore thumb,You misunderstood the post and conversation they had,-33.90876452252269,-46.11379563808441
Unless she changes her mind and edits this_Until she changes her mind and allows it,2.0,Unless she changes her mind and edits this,Until she changes her mind and allows it,-30.932398915290833,-26.800743460655212
Verde is the english equivalent of a mit_What is severely disabled veterans of text Vishnu,1.0,Verde is the english equivalent of a mit,What is severely disabled veterans of text Vishnu,-43.100364208221436,-72.79598093032837
Water will always collect on the cold coils_You misunderstood or is intentionally trying to mislead,1.0,Water will always collect on the cold coils,You misunderstood or is intentionally trying to mislead,-42.08712351322174,-39.56109562749043
We all want the deal to get done_You just need the bulkhead to stay operational,1.0,We all want the deal to get done,You just need the bulkhead to stay operational,-26.48212096095085,-41.91727423667908
When I graduated high school and needed money_When to get out cholesterol and gender companies,1.0,When I graduated high school and needed money,When to get out cholesterol and gender companies,-33.51387944817543,-63.29028677940369
Would be nice to have something stable though_something nice though be have stable to Would,1.0,Would be nice to have something stable though,something nice though be have stable to Would,-28.814291894435883,-69.41626071929932
Yeah my own world view as experiencing racism_racism own experiencing Yeah my as view world,1.0,Yeah my own world view as experiencing racism,racism own experiencing Yeah my as view world,-50.38369941711426,-76.64495468139648
You may need to remove zipped folder first_You obviously need to speed someone unless and,1.0,You may need to remove zipped folder first,You obviously need to speed someone unless and,-36.58160902559757,-61.81042665243149
A colony on the moon or another planet_A prolific that the direction or another Tiffany,1.0,A colony on the moon or another planet,A prolific that the direction or another Tiffany,-32.3056606054306,-69.97561597824097
A different kind of meat in your bum_A stronger type of butcher than true butchers,2.0,A different kind of meat in your bum,A stronger type of butcher than true butchers,-39.537704434245825,-51.93900880217552
Add the flour and stir to completely combine_So that leaves a fluke or environmental causes,1.0,Add the flour and stir to completely combine,So that leaves a fluke or environmental causes,-24.88454380631447,-52.162328362464905
Also come back if you want more snippets_Everything went on whether you need to Hispaniola,1.0,Also come back if you want more snippets,Everything went on whether you need to Hispaniola,-32.39387971162796,-54.184417724609375
Although a Gallup before which a retired northwest_Take your ballot with you and vote there,2.0,Although a Gallup before which a retired northwest,Take your ballot with you and vote there,-71.1350965499878,-29.870663173496723
Although this blog does depart from that Mark_Maybe this September will break from that pattern,2.0,Although this blog does depart from that Mark,Maybe this September will break from that pattern,-46.795681953430176,-35.84926575422287
Always had trouble finding good music for stuff_stuff good finding had trouble music for Always,1.0,Always had trouble finding good music for stuff,stuff good finding had trouble music for Always,-38.147520780563354,-70.66717743873596
And das does not carry Des at all_That source does not mention epilepsy at all,2.0,And das does not carry Des at all,That source does not mention epilepsy at all,-55.8915114402771,-36.93395832180977
And no boys did it with indistinguishable eyes_And we boys do it with out eyes,2.0,And no boys did it with indistinguishable eyes,And we boys do it with out eyes,-48.214936316013336,-45.963295102119446
And to rim you after swallowing your load_Another video from another angle just got released,2.0,And to rim you after swallowing your load,Another video from another angle just got released,-49.08453583717346,-37.866159200668335
And you pay taxes based in that number_This guy is telling it as it is,2.0,And you pay taxes based in that number,This guy is telling it as it is,-42.318225026130676,-30.77157813310623
Anybody can behead a rattles an an antelope_You can hit a chest through an arm,2.0,Anybody can behead a rattles an an antelope,You can hit a chest through an arm,-65.5823963880539,-36.90962529182434
Anyways I generally use of a national disgrace_Era I just thought about a boys name,2.0,Anyways I generally use of a national disgrace,Era I just thought about a boys name,-56.969542264938354,-44.27539837360382
Apparently everyone in the past was good looking_Where at in a mutiny were better received,1.0,Apparently everyone in the past was good looking,Where at in a mutiny were better received,-33.96496260166168,-53.31874358654022
Apparently they are not working in their favor_Suppose they were not dignified in their favor,1.0,Apparently they are not working in their favor,Suppose they were not dignified in their favor,-28.71439301967621,-36.54423427581787
As in a triple Sumner of the Barlow_Below publish a rebuttal indictment of your assertions,2.0,As in a triple Sumner of the Barlow,Below publish a rebuttal indictment of your assertions,-62.35811114311218,-50.96494396275375
At least half of them have cat vibes_I know a guy who can take them,2.0,At least half of them have cat vibes,I know a guy who can take them,-37.99177545122802,-29.119919776916504
Boys are out for the warm up in_The callous indifference of these idiots is reprehensible,2.0,Boys are out for the warm up in,The callous indifference of these idiots is reprehensible,-37.99748921394348,-37.589709401130676
Break away and concentrate on yourself for once_Soon that point around on account to keep,1.0,Break away and concentrate on yourself for once,Soon that point around on account to keep,-30.946419179439545,-57.24780511856079
Business prices are pretty much more to you_Their prices are pretty good compared to others,2.0,Business prices are pretty much more to you,Their prices are pretty good compared to others,-41.69586634635925,-27.11903877183795
But I guess Italy was a fan favorite_Have you ever stolen anything from your therapist,1.0,But I guess Italy was a fan favorite,Have you ever stolen anything from your therapist,-37.26832723617554,-30.84008353948593
But I was near them like melee range_Your submission has automatically been flagged for review,2.0,But I was near them like melee range,Your submission has automatically been flagged for review,-48.85287892818451,-29.815498426556587
But it has quickly gotten out of hand_If it has experienced anything up my family,1.0,But it has quickly gotten out of hand,If it has experienced anything up my family,-22.579771101474762,-49.62764549255371
But proceeded to contacting go into def happened_Of pretending to talk Henry into saying yes,2.0,But proceeded to contacting go into def happened,Of pretending to talk Henry into saying yes,-76.83144609630108,-51.80120384693146
But there are very basic question left unanswered_Thought it was doctor stone for a moment,1.0,But there are very basic question left unanswered,Thought it was doctor stone for a moment,-39.55662515759468,-36.01100701093674
Call me silly but I love this film_Members of similar but I confess his bedside,1.0,Call me silly but I love this film,Members of similar but I confess his bedside,-24.27373570203781,-59.33612358570099
